 Number | Obsoleted |        Reference
RFC1796 |           | Huitema, C., Postel, J., and S. Crocker, "Not All RFCs are Standards", RFC 1796, April 1995.
RFC1797 |           | Internet Assigned Numbers Authority (IANA), "Class A Subnet Experiment", RFC 1797, April 1995.
RFC1798 |   RFC3352 | Young, A., "Connection-less Lightweight X.500 Directory Access Protocol", RFC 1798, June 1995.
RFC1799 |           | Kennedy, M., "Request for Comments Summary RFC Numbers 1700-1799", RFC 1799, January 1997.
RFC1800 |   RFC1880 | Postel, J., Ed., "Internet Official Protocol Standards", RFC 1800, July 1995.
RFC1801 |           | Kille, S., "MHS use of the X.500 Directory to support MHS Routing", RFC 1801, June 1995.
RFC1802 |           | Alvestrand, H., Jordan, K., Langlois, S., and J. Romaguera, "Introducing Project Long Bud: Internet Pilot Project for the Deployment of X.500 Directory Information in Support of X.400 Routing", RFC 1802, June 1995.
RFC1803 |           | Wright, R., Getchell, A., Howes, T., Sataluri, S., Yee, P., and W. Yeong, "Recommendations for an X.500 Production Directory Service", RFC 1803, June 1995.
RFC1804 |           | Mansfield, G., Rajeev, P., Raghavan, S., and T. Howes, "Schema Publishing in X.500 Directory", RFC 1804, June 1995.
RFC1805 |           | Rubin, A., "Location-Independent Data/Software Integrity Protocol", RFC 1805, June 1995.
RFC1806 |   RFC2183 | Troost, R. and S. Dorner, "Communicating Presentation Information in Internet Messages: The Content-Disposition Header", RFC 1806, June 1995.
RFC1807 |           | Lasher, R. and D. Cohen, "A Format for Bibliographic Records", RFC 1807, June 1995.
RFC1808 |   RFC3986 | Fielding, R., "Relative Uniform Resource Locators", RFC 1808, June 1995.
RFC1809 |           | Partridge, C., "Using the Flow Label Field in IPv6", RFC 1809, June 1995.
RFC1810 |           | Touch, J., "Report on MD5 Performance", RFC 1810, June 1995.
RFC1811 |   RFC1816 | Federal Networking Council, "U.S. Government Internet Domain Names", RFC 1811, June 1995.
RFC1812 |           | Baker, F., Ed., "Requirements for IP Version 4 Routers", RFC 1812, June 1995.
RFC1813 |           | Callaghan, B., Pawlowski, B., and P. Staubach, "NFS Version 3 Protocol Specification", RFC 1813, June 1995.
RFC1814 |           | Gerich, E., "Unique Addresses are Good", RFC 1814, June 1995.
RFC1815 |           | Ohta, M., "Character Sets ISO-10646 and ISO-10646-J-1", RFC 1815, July 1995.
RFC1816 |   RFC2146 | Federal Networking Council, "U.S. Government Internet Domain Names", RFC 1816, August 1995.
RFC1817 |           | Rekhter, Y., "CIDR and Classful Routing", RFC 1817, August 1995.
RFC1818 |           | Postel, J., Li, T., and Y. Rekhter, "Best Current Practices", RFC 1818, August 1995.
RFC1819 |           | Delgrossi, L., Ed., and L. Berger, Ed., "Internet Stream Protocol Version 2 (ST2) Protocol Specification - Version ST2+", RFC 1819, August 1995.
RFC1820 |   RFC1844 | Huizer, E., "Multimedia E-mail (MIME) User Agent Checklist", RFC 1820, August 1995.
RFC1821 |           | Borden, M., Crawley, E., Davie, B., and S. Batsell, "Integration of Real-time Services in an IP-ATM Network Architecture", RFC 1821, August 1995.
RFC1822 |           | Lowe, J., "A Grant of Rights to Use a Specific IBM patent with Photuris", RFC 1822, August 1995.
RFC1823 |           | Howes, T. and M. Smith, "The LDAP Application Program Interface", RFC 1823, August 1995.
RFC1824 |           | Danisch, H., "The Exponential Security System TESS: An Identity-Based Cryptographic Protocol for Authenticated Key-Exchange (E.I.S.S.-Report 1995/4)", RFC 1824, August 1995.
RFC1825 |   RFC2401 | Atkinson, R., "Security Architecture for the Internet Protocol", RFC 1825, August 1995.
RFC1826 |   RFC2402 | Atkinson, R., "IP Authentication Header", RFC 1826, August 1995.
RFC1827 |   RFC2406 | Atkinson, R., "IP Encapsulating Security Payload (ESP)", RFC 1827, August 1995.
RFC1828 |           | Metzger, P. and W. Simpson, "IP Authentication using Keyed MD5", RFC 1828, August 1995.
RFC1829 |           | Karn, P., Metzger, P., and W. Simpson, "The ESP DES-CBC Transform", RFC 1829, August 1995.
RFC1830 |   RFC3030 | Vaudreuil, G., "SMTP Service Extensions for Transmission of Large and Binary MIME Messages", RFC 1830, August 1995.
RFC1831 |   RFC5531 | Srinivasan, R., "RPC: Remote Procedure Call Protocol Specification Version 2", RFC 1831, August 1995.
RFC1832 |   RFC4506 | Srinivasan, R., "XDR: External Data Representation Standard", RFC 1832, August 1995.
RFC1833 |           | Srinivasan, R., "Binding Protocols for ONC RPC Version 2", RFC 1833, August 1995.
RFC1834 |           | Gargano, J. and K. Weiss, "Whois and Network Information Lookup Service, Whois++", RFC 1834, August 1995.
RFC1835 |           | Deutsch, P., Schoultz, R., Faltstrom, P., and C. Weider, "Architecture of the WHOIS++ service", RFC 1835, August 1995.
RFC1836 |   RFC2294 | Kille, S., "Representing the O/R Address hierarchy in the X.500 Directory Information Tree", RFC 1836, August 1995.
RFC1837 |   RFC2293 | Kille, S., "Representing Tables and Subtrees in the X.500 Directory", RFC 1837, August 1995.
RFC1838 |   RFC2164 | Kille, S., "Use of the X.500 Directory to support mapping between X.400 and RFC 822 Addresses", RFC 1838, August 1995.
RFC1841 |           | Chapman, J., Coli, D., Harvey, A., Jensen, B., and K. Rowett, "PPP Network Control Protocol for LAN Extension", RFC 1841, September 1995.
RFC1842 |           | Wei, Y., Zhang, Y., Li, J., Ding, J., and Y. Jiang, "ASCII Printable Characters-Based Chinese Character Encoding for Internet Messages", RFC 1842, August 1995.
RFC1843 |           | Lee, F., "HZ - A Data Format for Exchanging Files of Arbitrarily Mixed Chinese and ASCII characters", RFC 1843, August 1995.
RFC1844 |           | Huizer, E., "Multimedia E-mail (MIME) User Agent Checklist", RFC 1844, August 1995.
RFC1845 |           | Crocker, D., Freed, N., and A. Cargille, "SMTP Service Extension for Checkpoint/Restart", RFC 1845, September 1995.
RFC1846 |           | Durand, A. and F. Dupont, "SMTP 521 Reply Code", RFC 1846, September 1995.
RFC1847 |           | Galvin, J., Murphy, S., Crocker, S., and N. Freed, "Security Multiparts for MIME: Multipart/Signed and Multipart/Encrypted", RFC 1847, October 1995.
RFC1848 |           | Crocker, S., Freed, N., Galvin, J., and S. Murphy, "MIME Object Security Services", RFC 1848, October 1995.
RFC1849 |   RFC5536, RFC5537 | Spencer, H., ""Son of 1036": News Article Format and Transmission", RFC 1849, March 2010.
RFC1850 |   RFC4750 | Baker, F. and R. Coltun, "OSPF Version 2 Management Information Base", RFC 1850, November 1995.
RFC1851 |           | Karn, P., Metzger, P., and W. Simpson, "The ESP Triple DES Transform", RFC 1851, September 1995.
RFC1852 |   RFC2841 | Metzger, P. and W. Simpson, "IP Authentication using Keyed SHA", RFC 1852, September 1995.
RFC1853 |           | Simpson, W., "IP in IP Tunneling", RFC 1853, October 1995.
RFC1854 |   RFC2197 | Freed, N., "SMTP Service Extension for Command Pipelining", RFC 1854, October 1995.
RFC1855 |           | Hambridge, S., "Netiquette Guidelines", FYI 28, RFC 1855, October 1995.
RFC1856 |           | Clark, H., "The Opstat Client-Server Model for Statistics Retrieval", RFC 1856, September 1995.
RFC1857 |           | Lambert, M., "A Model for Common Operational Statistics", RFC 1857, October 1995.
RFC1858 |           | Ziemba, G., Reed, D., and P. Traina, "Security Considerations for IP Fragment Filtering", RFC 1858, October 1995.
RFC1859 |           | Pouffary, Y., "ISO Transport Class 2 Non-use of Explicit Flow Control over TCP RFC1006 extension", RFC 1859, October 1995.
RFC1860 |   RFC1878 | Pummill, T. and B. Manning, "Variable Length Subnet Table For IPv4", RFC 1860, October 1995.
RFC1861 |           | Gwinn, A., "Simple Network Paging Protocol - Version 3 -Two-Way Enhanced", RFC 1861, October 1995.
RFC1862 |           | McCahill, M., Romkey, J., Schwartz, M., Sollins, K., Verschuren, T., and C. Weider, "Report of the IAB Workshop on Internet Information Infrastructure, October 12-14, 1994", RFC 1862, November 1995.
RFC1863 |   RFC4223 | Haskin, D., "A BGP/IDRP Route Server alternative to a full mesh routing", RFC 1863, October 1995.
RFC1864 |           | Myers, J. and M. Rose, "The Content-MD5 Header Field", RFC 1864, October 1995.
RFC1865 |           | Houser, W., Griffin, J., and C. Hage, "EDI Meets the Internet Frequently Asked Questions about Electronic Data Interchange (EDI) on the Internet", RFC 1865, January 1996.
RFC1866 |   RFC2854 | Berners-Lee, T. and D. Connolly, "Hypertext Markup Language - 2.0", RFC 1866, November 1995.
RFC1867 |   RFC2854 | Nebel, E. and L. Masinter, "Form-based File Upload in HTML", RFC 1867, November 1995.
RFC1868 |           | Malkin, G., "ARP Extension - UNARP", RFC 1868, November 1995.
RFC1869 |   RFC2821 | Klensin, J., Freed, N., Rose, M., Stefferud, E., and D. Crocker, "SMTP Service Extensions", STD 10, RFC 1869, November 1995.
RFC1870 |           | Klensin, J., Freed, N., and K. Moore, "SMTP Service Extension for Message Size Declaration", STD 10, RFC 1870, November 1995.
RFC1871 |   RFC2026 | Postel, J., "Addendum to RFC 1602 -- Variance Procedure", RFC 1871, November 1995.
RFC1872 |   RFC2112 | Levinson, E., "The MIME Multipart/Related Content-type", RFC 1872, December 1995.
RFC1873 |           | Levinson, E., "Message/External-Body Content-ID Access Type", RFC 1873, December 1995.
RFC1874 |           | Levinson, E., "SGML Media Types", RFC 1874, December 1995.
RFC1875 |           | Berge, N., "UNINETT PCA Policy Statements", RFC 1875, December 1995.
RFC1876 |           | Davis, C., Vixie, P., Goodwin, T., and I. Dickinson, "A Means for Expressing Location Information in the Domain Name System", RFC 1876, January 1996.
RFC1877 |           | Cobb, S., "PPP Internet Protocol Control Protocol Extensions for Name Server Addresses", RFC 1877, December 1995.
RFC1878 |           | Pummill, T. and B. Manning, "Variable Length Subnet Table For IPv4", RFC 1878, December 1995.
RFC1879 |           | Manning, B., Ed., "Class A Subnet Experiment Results and Recommendations", RFC 1879, January 1996.
RFC1880 |   RFC1920 | Postel, J., Ed., "Internet Official Protocol Standards", RFC 1880, November 1995.
RFC1881 |           | IAB and IESG, "IPv6 Address Allocation Management", RFC 1881, December 1995.
RFC1882 |           | Hancock, B., "The 12-Days of Technology Before Christmas", RFC 1882, December 1995.
RFC1883 |   RFC2460 | Deering, S. and R. Hinden, "Internet Protocol, Version 6 (IPv6) Specification", RFC 1883, December 1995.
RFC1884 |   RFC2373 | Hinden, R., Ed., and S. Deering, Ed., "IP Version 6 Addressing Architecture", RFC 1884, December 1995.
RFC1885 |   RFC2463 | Conta, A. and S. Deering, "Internet Control Message Protocol (ICMPv6) for the Internet Protocol Version 6 (IPv6)", RFC 1885, December 1995.
RFC1886 |   RFC3596 | Thomson, S. and C. Huitema, "DNS Extensions to support IP version 6", RFC 1886, December 1995.
RFC1887 |           | Rekhter, Y., Ed., and T. Li, Ed., "An Architecture for IPv6 Unicast Address Allocation", RFC 1887, December 1995.
RFC1888 |   RFC4048 | Bound, J., Carpenter, B., Harrington, D., Houldsworth, J., and A. Lloyd, "OSI NSAPs and IPv6", RFC 1888, August 1996.
RFC1889 |   RFC3550 | Audio-Video Transport Working Group, Schulzrinne, H., Casner, S., Frederick, R., and V. Jacobson, "RTP: A Transport Protocol for Real-Time Applications", RFC 1889, January 1996.
RFC1890 |   RFC3551 | Audio-Video Transport Working Group and H. Schulzrinne, "RTP Profile for Audio and Video Conferences with Minimal Control", RFC 1890, January 1996.
RFC1891 |   RFC3461 | Moore, K., "SMTP Service Extension for Delivery Status Notifications", RFC 1891, January 1996.
RFC1892 |   RFC3462 | Vaudreuil, G., "The Multipart/Report Content Type for the Reporting of Mail System Administrative Messages", RFC 1892, January 1996.
RFC1893 |   RFC3463 | Vaudreuil, G., "Enhanced Mail System Status Codes", RFC 1893, January 1996.
RFC1894 |   RFC3464 | Moore, K. and G. Vaudreuil, "An Extensible Message Format for Delivery Status Notifications", RFC 1894, January 1996.
RFC1895 |           | Levinson, E., "The Application/CALS-1840 Content-type", RFC 1895, February 1996.
RFC1896 |           | Resnick, P. and A. Walker, "The text/enriched MIME Content-type", RFC 1896, February 1996.
RFC1897 |   RFC2471 | Hinden, R. and J. Postel, "IPv6 Testing Address Allocation", RFC 1897, January 1996.
RFC1898 |           | Eastlake 3rd, D., Boesch, B., Crocker, S., and M. Yesil, "CyberCash Credit Card Protocol Version 0.8", RFC 1898, February 1996.
RFC1899 |           | Elliott, J., "Request for Comments Summary RFC Numbers 1800-1899", RFC 1899, January 1997.
RFC1900 |           | Carpenter, B. and Y. Rekhter, "Renumbering Needs Work", RFC 1900, February 1996.
RFC1901 |           | Case, J., McCloghrie, K., Rose, M., and S. Waldbusser, "Introduction to Community-based SNMPv2", RFC 1901, January 1996.
RFC1902 |   RFC2578 | Case, J., McCloghrie, K., Rose, M., and S. Waldbusser, "Structure of Management Information for Version 2 of the Simple Network Management Protocol (SNMPv2)", RFC 1902, January 1996.
RFC1903 |   RFC2579 | Case, J., McCloghrie, K., Rose, M., and S. Waldbusser, "Textual Conventions for Version 2 of the Simple Network Management Protocol (SNMPv2)", RFC 1903, January 1996.
RFC1904 |   RFC2580 | Case, J., McCloghrie, K., Rose, M., and S. Waldbusser, "Conformance Statements for Version 2 of the Simple Network Management Protocol (SNMPv2)", RFC 1904, January 1996.
RFC1905 |   RFC3416 | Case, J., McCloghrie, K., Rose, M., and S. Waldbusser, "Protocol Operations for Version 2 of the Simple Network Management Protocol (SNMPv2)", RFC 1905, January 1996.
RFC1906 |   RFC3417 | Case, J., McCloghrie, K., Rose, M., and S. Waldbusser, "Transport Mappings for Version 2 of the Simple Network Management Protocol (SNMPv2)", RFC 1906, January 1996.
RFC1907 |   RFC3418 | Case, J., McCloghrie, K., Rose, M., and S. Waldbusser, "Management Information Base for Version 2 of the Simple Network Management Protocol (SNMPv2)", RFC 1907, January 1996.
RFC1908 |   RFC2576 | Case, J., McCloghrie, K., Rose, M., and S. Waldbusser, "Coexistence between Version 1 and Version 2 of the Internet-standard Network Management Framework", RFC 1908, January 1996.
RFC1909 |           | McCloghrie, K., Ed., "An Administrative Infrastructure for SNMPv2", RFC 1909, February 1996.
RFC1910 |           | Waters, G., Ed., "User-based Security Model for SNMPv2", RFC 1910, February 1996.
RFC1911 |   RFC2421, RFC2422, RFC2423 | Vaudreuil, G., "Voice Profile for Internet Mail", RFC 1911, February 1996.
RFC1912 |           | Barr, D., "Common DNS Operational and Configuration Errors", RFC 1912, February 1996.
RFC1913 |           | Weider, C., Fullton, J., and S. Spero, "Architecture of the Whois++ Index Service", RFC 1913, February 1996.
RFC1914 |           | Faltstrom, P., Schoultz, R., and C. Weider, "How to Interact with a Whois++ Mesh", RFC 1914, February 1996.
RFC1915 |           | Kastenholz, F., "Variance for The PPP Compression Control Protocol and The PPP Encryption Control Protocol", BCP 3, RFC 1915, February 1996.
RFC1916 |           | Berkowitz, H., Ferguson, P., Leland, W., and P. Nesser, "Enterprise Renumbering: Experience and Information Solicitation", RFC 1916, February 1996.
RFC1917 |           | Nesser II, P., "An Appeal to the Internet Community to Return Unused IP Networks (Prefixes) to the IANA", BCP 4, RFC 1917, February 1996.
RFC1918 |           | Rekhter, Y., Moskowitz, B., Karrenberg, D., de Groot, G., and E. Lear, "Address Allocation for Private Internets", BCP 5, RFC 1918, February 1996.
RFC1919 |           | Chatel, M., "Classical versus Transparent IP Proxies", RFC 1919, March 1996.
RFC1920 |   RFC2000 | Postel, J., "Internet Official Protocol Standards", RFC 1920, March 1996.
RFC1921 |           | Dujonc, J., "TNVIP Protocol", RFC 1921, March 1996.
RFC1922 |           | Zhu, HF., Hu, DY., Wang, ZG., Kao, TC., Chang, WCH., and M. Crispin, "Chinese Character Encoding for Internet Messages", RFC 1922, March 1996.
RFC1923 |           | Halpern, J. and S. Bradner, "RIPv1 Applicability Statement for Historic Status", RFC 1923, March 1996.
RFC1924 |           | Elz, R., "A Compact Representation of IPv6 Addresses", RFC 1924, April 1 1996.
RFC1925 |           | Callon, R., "The Twelve Networking Truths", RFC 1925, April 1 1996.
RFC1926 |           | Eriksson, J., "An Experimental Encapsulation of IP Datagrams on Top of ATM", RFC 1926, April 1 1996.
RFC1927 |           | Rogers, C., "Suggested Additional MIME Types for Associating Documents", RFC 1927, April 1 1996.
